uuid,adm4_pcode,date,freq,avg_rad_min,avg_rad_max,avg_rad_mean,avg_rad_std,avg_rad_median
NTLGT000000,PH015518016,2012-01-01,Y,0.8591148257255554,1.2680596113204956,1.0300415356953938,0.1526150193611632,1.0108336210250854
NTLGT000001,PH015518031,2012-01-01,Y,3.420872926712036,8.877620697021484,6.439114379882812,1.809376697088856,6.706517219543457
NTLGT000002,PH015518022,2012-01-01,Y,0.6372565031051636,10.661940574645996,5.14892087663923,2.8901288449666125,4.869959354400635
NTLGT000003,PH015518024,2012-01-01,Y,12.236560821533203,16.26690101623535,14.251730918884276,2.015170097351074,14.251730918884276
NTLGT000004,PH034919017,2012-01-01,Y,-0.0004145455604884,2.035247325897217,0.417829958597819,0.6008539221487136,0.0840130746364593
NTLGT000005,PH034919010,2012-01-01,Y,0.0124876592308282,0.8791117668151855,0.1741551671709333,0.2479504578509843,0.0484242402017116
NTLGT000006,PH050506053,2012-01-01,Y,0.3092979490756988,0.7050180435180664,0.4561568737030029,0.1414387277107658,0.4315761625766754
NTLGT000007,PH050506056,2012-01-01,Y,0.0421523712575435,0.3262520134449005,0.1367376115587022,0.069558234140278,0.1256505697965622
NTLGT000008,PH050506072,2012-01-01,Y,,,,,
NTLGT000009,PH050506020,2012-01-01,Y,9.702467918395996,9.702467918395996,9.702467918395996,0.0,9.702467918395996
NTLGT00000A,PH050506051,2012-01-01,Y,3.333803653717041,6.510838508605957,4.744264602661133,1.2907554263320902,4.541444778442383
NTLGT00000B,PH050506022,2012-01-01,Y,,,,,
NTLGT00000C,PH050506042,2012-01-01,Y,,,,,
NTLGT00000D,PH050506012,2012-01-01,Y,7.287664890289307,8.169082641601562,7.720015525817871,0.3278841350560834,7.711657524108887
NTLGT00000E,PH050506003,2012-01-01,Y,0.2476429641246795,0.5711967349052429,0.3951059068952288,0.1142557014356219,0.390316903591156
NTLGT00000F,PH050506038,2012-01-01,Y,,,,,
NTLGT000010,PH050506007,2012-01-01,Y,,,,,
NTLGT000011,PH050506043,2012-01-01,Y,2.93516206741333,2.93516206741333,2.93516206741333,0.0,2.93516206741333
NTLGT000012,PH063022084,2012-01-01,Y,12.00149154663086,12.00149154663086,12.00149154663086,0.0,12.00149154663086
NTLGT000013,PH063022081,2012-01-01,Y,,,,,
NTLGT000014,PH063022178,2012-01-01,Y,8.110280990600586,12.03343105316162,10.766611099243164,1.5861545124768606,11.461366653442385
NTLGT000015,PH063022189,2012-01-01,Y,14.26347827911377,14.26347827911377,14.26347827911377,0.0,14.26347827911377
NTLGT000016,PH063022064,2012-01-01,Y,2.801163673400879,6.101902484893799,4.185977554321289,1.0875264818762704,4.059840679168701
NTLGT000017,PH063022033,2012-01-01,Y,0.9319801330566406,3.138244152069092,1.842498779296875,0.940992334959208,1.4572722911834717
NTLGT000018,PH063022080,2012-01-01,Y,,,,,
NTLGT000019,PH063022097,2012-01-01,Y,,,,,
NTLGT00001A,PH063022154,2012-01-01,Y,,,,,
NTLGT00001B,PH063022041,2012-01-01,Y,3.648075580596924,6.0275726318359375,4.59155797958374,0.9280825152043763,4.345292091369629
NTLGT00001C,PH063022186,2012-01-01,Y,,,,,
NTLGT00001D,PH063022161,2012-01-01,Y,,,,,
