Config_ID,Disease,Model_Type,Optimizer,Learning_Rate,Batch_Size,Units,Dropout,Train_Loss,Train_MAE,Train_RMSE,Train_R2,Val_Loss,Val_MAE,Val_RMSE,Val_R2,Test_Loss,Test_MAE,Test_RMSE,Test_R2,Epochs_Trained,Training_Time_Sec,Opt_beta_1,Opt_beta_2,Opt_rho,Opt_momentum,Opt_nesterov
1,Dengue,LSTM,Adam,0.001,32,64,0.2,0.0001222088758368045,0.006715769879519939,0.011054812338380264,0.9564515828251804,0.013332697562873363,0.05339476093649864,0.11546730083826054,0.6103768473311014,0.0005189076764509082,0.013287725858390331,0.022779545132660315,-0.22324330562475714,31,65.037305,0.9,0.999,,,
2,Dengue,LSTM,Adam,0.01,32,64,0.2,8.461402467219159e-05,0.0071307700127363205,0.00919858818907508,0.969848295168159,0.0085221566259861,0.04193310812115669,0.09231552754540322,0.7509559096650712,0.00037205233820714056,0.012683440931141376,0.019288658279080495,0.12294493518714122,38,83.572821,0.9,0.999,,,
3,Dengue,LSTM,Adam,0.0001,32,64,0.2,0.00020693292026408017,0.009610651060938835,0.014385163199077032,0.9262606887167472,0.012365859933197498,0.05191432312130928,0.11120188817280711,0.6386308454913452,0.0009040465811267495,0.02015972137451172,0.030067367379382412,-1.1311478254403018,32,81.15275,0.9,0.999,,,
4,Dengue,LSTM,Adam,0.001,32,64,0.2,6.136843876447529e-05,0.005557571072131395,0.007833801041925643,0.9781317124774103,0.007790043484419584,0.03938695043325424,0.08826122299413024,0.7723505173954571,0.00039684041985310614,0.011628242209553719,0.019920853893673988,0.06451109711636416,69,200.475514,0.95,0.999,,,
5,Dengue,LSTM,RMSprop,0.001,32,64,0.2,0.0006723149563185871,0.01892300881445408,0.025929036933881426,0.7604244783532716,0.014208146370947361,0.05345684289932251,0.11919792939035208,0.5847934333743307,0.0003541721380315721,0.011876674368977547,0.01881946168283174,0.16509479177093644,42,141.135883,,,0.9,,
6,Dengue,LSTM,RMSprop,0.01,32,64,0.2,0.0012182864593341947,0.02842174656689167,0.034903960510724204,0.5658708905313242,0.021331610158085823,0.0665191039443016,0.14605344966171058,0.37662365114539875,0.0007698304252699018,0.026194578036665916,0.027745818158236058,-0.8147541748137015,44,114.121512,,,0.9,,
7,Dengue,LSTM,RMSprop,0.0001,32,64,0.2,0.0001720417058095336,0.00908602774143219,0.013116466971312572,0.9386939438725789,0.010731312446296215,0.055249907076358795,0.1035920481808146,0.6863974900286733,0.0016466936795040965,0.03527727723121643,0.04057947362280709,-2.8818214881615694,55,165.737242,,,0.95,,
8,Dengue,LSTM,SGD,0.01,32,64,0.2,0.0007774495170451701,0.014874683693051338,0.0278827817307594,0.7229604635086063,0.03392849862575531,0.10110663622617722,0.18419690178109757,0.008502875138413635,0.0028888469096273184,0.04243984818458557,0.053747994470745776,-5.8100037030668155,100,247.853385,,,,0.0,False
9,Dengue,LSTM,SGD,0.01,32,64,0.2,0.00015684572281315923,0.009160744026303291,0.012523806243038066,0.9441089288437633,0.012426918372511864,0.06911348551511765,0.11147608879267278,0.6368465335739296,0.004956092685461044,0.0667380765080452,0.07039952191216248,-10.683209711333415,100,282.992256,,,,0.9,False
10,Dengue,LSTM,SGD,0.001,32,64,0.2,0.0007543276296928525,0.016074562445282936,0.027465025572404853,0.7311997665698491,0.023510385304689407,0.07065378129482269,0.15333096655499634,0.3129529193268875,0.0008213637047447264,0.02237478829920292,0.02865944355260106,-0.9362359598249157,100,286.239384,,,,0.9,True
11,Dengue,LSTM,Adam,0.001,16,64,0.2,0.00010043289512395859,0.00758246798068285,0.010021621381989972,0.9642113366292299,0.0063425470143556595,0.038209058344364166,0.07964010933164055,0.8146509001598625,0.0003875404945574701,0.015047585591673851,0.019686048220947498,0.08643423727289234,71,570.226891,0.9,0.999,,,
12,Dengue,LSTM,Adam,0.001,64,64,0.2,0.00013906214735470712,0.008497682400047779,0.011792461462930762,0.9504460143647898,0.010529336519539356,0.04787324368953705,0.102612555369893,0.6922997568362055,0.00035298458533361554,0.009935852140188217,0.0187878840036236,0.16789434698230365,37,66.082299,0.9,0.999,,,
13,Dengue,LSTM,Adam,0.001,32,128,0.2,0.00012296641943976283,0.007021090481430292,0.011089022474490834,0.9561816401758793,0.010749999433755875,0.04805220663547516,0.10368220403596692,0.6858513074572938,0.00030047103064134717,0.013404414057731628,0.017334100225894253,0.29168669590092977,31,128.817668,0.9,0.999,,,
14,Dengue,LSTM,Adam,0.001,32,32,0.2,9.344028512714431e-05,0.006846725940704346,0.009666451527170883,0.9667031089854642,0.011547588743269444,0.04244215413928032,0.10745970753389125,0.6625433153815936,0.0005763752269558609,0.02151625044643879,0.02400781595555624,-0.3587142084372772,55,170.352388,0.9,0.999,,,
15,Dengue,LSTM,Adam,0.001,32,64,0.3,9.294207120547071e-05,0.006797104142606258,0.009640646825056434,0.966880645851516,0.011745613068342209,0.05335419252514839,0.10837717964748025,0.6567563184153338,0.00020376371685415506,0.010150399059057236,0.01427458289597826,0.5196590502665631,30,82.194484,0.9,0.999,,,
16,Dengue,LSTM,Adam,0.001,32,64,0.1,4.0366041503148153e-05,0.003942083567380905,0.00635342753977317,0.9856157980490335,0.0063504367135465145,0.03355744481086731,0.07968962738993397,0.814420371250619,0.00040547573007643223,0.012919318862259388,0.02013642793735851,0.044154615950845355,77,206.342981,0.9,0.999,,,
